question,answer,source
<@U0RR5KY90> <@U02LMETN883> チームOKRを変更する前提で、新O2もResilyに登録しました。毎週定例までに各KRの進捗率を更新する運用にしましょうか。 <https://app.resily.com/terms/current/okrs?d-tab=confidence&amp;group=R3JvdXBzOjIwMDM4MjM%3D&amp;node=T2tyTm9kZXM6MjA2NDg4NQ%3D%3D&amp;view=&amp;d-id=T2JqZWN0aXZlczoyMDY0NDcz&amp;d-type=objective#nodeId=T2tyTm9kZXM6MjA2NDUxOA%3D%3D|https://app.resily.com/terms/current/okrs?d-tab=confidence&amp;group=R3JvdXBzOjIwMDM4MjM[…]NQ%3D%3D&amp;view=&amp;d-id=T2JqZWN0aXZlczoyMDY0NDcz&amp;d-type=objective>  定例でのOKR進捗共有の内容は以下を想定してます。 ```■共有・報告事項 1. 各KRの進捗率。 2. 前週に対して進捗率を変更している場合はその理由（口頭で可）。 3. 課題がある場合は共有して、ネクストを決める。```,<@U0RR5KY90> <@U02LMETN883> チームOKRを変更する前提で、新O2もResilyに登録しました。毎週定例までに各KRの進捗率を更新する運用にしましょうか。 <https://app.resily.com/terms/current/okrs?d-tab=confidence&amp;group=R3JvdXBzOjIwMDM4MjM%3D&amp;node=T2tyTm9kZXM6MjA2NDg4NQ%3D%3D&amp;view=&amp;d-id=T2JqZWN0aXZlczoyMDY0NDcz&amp;d-type=objective#nodeId=T2tyTm9kZXM6MjA2NDUxOA%3D%3D|https://app.resily.com/terms/current/okrs?d-tab=confidence&amp;group=R3JvdXBzOjIwMDM4MjM[…]NQ%3D%3D&amp;view=&amp;d-id=T2JqZWN0aXZlczoyMDY0NDcz&amp;d-type=objective>  定例でのOKR進捗共有の内容は以下を想定してます。 ```■共有・報告事項 1. 各KRの進捗率。 2. 前週に対して進捗率を変更している場合はその理由（口頭で可）。 3. 課題がある場合は共有して、ネクストを決める。```,Slack #corp-it-engineering-data-enablement
<@U02LMETN883> 頭の整理がてら、Anaplan移行後がすべて終わった後の数値連携図を簡単にまとめました（P21-22）。改善できるところはいろいろあるとは思いますが、Finance/KPI/Opsと、トップダウン計画/ボトムアップ計画・見込/実績、で分けて考えるとわかりやすいかと思います。 <https://docs.google.com/presentation/d/1BYnM6ISXrN453IhW8KzSAzicGQCeLQtqa2JJlAGBzqQ/edit#slide=id.g118b1262fd4_1_853>,<@U02LMETN883> 頭の整理がてら、Anaplan移行後がすべて終わった後の数値連携図を簡単にまとめました（P21-22）。改善できるところはいろいろあるとは思いますが、Finance/KPI/Opsと、トップダウン計画/ボトムアップ計画・見込/実績、で分けて考えるとわかりやすいかと思います。 <https://docs.google.com/presentation/d/1BYnM6ISXrN453IhW8KzSAzicGQCeLQtqa2JJlAGBzqQ/edit#slide=id.g118b1262fd4_1_853>,Slack #corp-it-engineering-data-enablement
GitLabの働き方に関するこの資料、特に同期コミュニケーションと非同期コミュニケーションのくだりがわかりやすいので参考に。 <https://learn.gitlab.com/c/gitlab-presentation-developers-summit?x=JBqxmQ|https://learn.gitlab.com/c/gitlab-presentation-developers-summit?x=JBqxmQ>,GitLabの働き方に関するこの資料、特に同期コミュニケーションと非同期コミュニケーションのくだりがわかりやすいので参考に。 <https://learn.gitlab.com/c/gitlab-presentation-developers-summit?x=JBqxmQ|https://learn.gitlab.com/c/gitlab-presentation-developers-summit?x=JBqxmQ>,Slack #corp-it-engineering-data-enablement
<@U0RR5KY90> 銀座の会議室ってどうやって予約するんだっけ？,<@U0RR5KY90> 銀座の会議室ってどうやって予約するんだっけ？,Slack #corp-it-engineering-data-enablement
<@U0RR5KY90> <@U02LMETN883> 次回、1Q 個人OKRの話ししましょうか。残り2週間くらいだけど。,<@U0RR5KY90> <@U02LMETN883> 次回、1Q 個人OKRの話ししましょうか。残り2週間くらいだけど。,Slack #corp-it-engineering-data-enablement
<@U0RR5KY90> おお、じゃあこっちキャンセルするよ,<@U0RR5KY90> おお、じゃあこっちキャンセルするよ,Slack #corp-it-engineering-data-enablement
<@U013F0V890D> MRRの定義を整理しているのですが、経企で集計しているMRRの見込・実績と、開示されているMRRの定義ってこちらのスライドに記載している内容で合っているでしょうか？特に開示のほうについてあまり把握しておらず。 <https://docs.google.com/presentation/d/1BYnM6ISXrN453IhW8KzSAzicGQCeLQtqa2JJlAGBzqQ/edit#slide=id.g1196e6f3a5f_4_21>,<@U013F0V890D> MRRの定義を整理しているのですが、経企で集計しているMRRの見込・実績と、開示されているMRRの定義ってこちらのスライドに記載している内容で合っているでしょうか？特に開示のほうについてあまり把握しておらず。 <https://docs.google.com/presentation/d/1BYnM6ISXrN453IhW8KzSAzicGQCeLQtqa2JJlAGBzqQ/edit#slide=id.g1196e6f3a5f_4_21>,Slack #corp-it-engineering-data-enablement
張替メモ：FP&amp;Aで動かしてた数値バリデーション&amp;Slack自動通知の仕組みをどこかに入れる余地ないか  ■スプレッドシートエラー検知Botの仕組み <https://docs.google.com/document/d/1-UvoWa_6EnWBEhsjH3eBZC98ILS9vn-dfudXna3lP3I/edit#>  ■実装方法とサンプルリスト <https://docs.google.com/document/d/1fTL2D34lAbaLIj8gJS2UknDuLkcHkeay0IpRFf_hDO8/edit>,張替メモ：FP&amp;Aで動かしてた数値バリデーション&amp;Slack自動通知の仕組みをどこかに入れる余地ないか  ■スプレッドシートエラー検知Botの仕組み <https://docs.google.com/document/d/1-UvoWa_6EnWBEhsjH3eBZC98ILS9vn-dfudXna3lP3I/edit#>  ■実装方法とサンプルリスト <https://docs.google.com/document/d/1fTL2D34lAbaLIj8gJS2UknDuLkcHkeay0IpRFf_hDO8/edit>,Slack #corp-it-engineering-data-enablement
<@ULQECDAGK> <@U02818QEAJZ> cc: <@U2JEZRUBE> 上記、今日のMTGで話す予定のメモです。Incoming hookがメンション先のチャネルを特定する必要があるので共有化が難しく、個別のIncoming hookを作る必要がありそう。,<@ULQECDAGK> <@U02818QEAJZ> cc: <@U2JEZRUBE> 上記、今日のMTGで話す予定のメモです。Incoming hookがメンション先のチャネルを特定する必要があるので共有化が難しく、個別のIncoming hookを作る必要がありそう。,Slack #corp-it-engineering-data-enablement
<@U013F0V890D> <@UEGN1ES64> <@U02SRUPBL> <@UCKL4SR1A> 先ほど話したMRR集計のAsIsとToBeをこちらのP13-14にざっとまとめました。「月次MRR」「月次有料会員数」はbillingサーバーのmonthly statsテーブルを正として整理しようと思います。 <https://docs.google.com/presentation/d/1BYnM6ISXrN453IhW8KzSAzicGQCeLQtqa2JJlAGBzqQ/edit#slide=id.g1190c2549c4_0_38>  日次のユーザー数についても月次と同じ定義で取れるようにbillingのほうを整理するのは可能だと思いますが、newspicksのほうを消すことができるかどうかは、数字の使われ方も確認したうえで進めます。,<@U013F0V890D> <@UEGN1ES64> <@U02SRUPBL> <@UCKL4SR1A> 先ほど話したMRR集計のAsIsとToBeをこちらのP13-14にざっとまとめました。「月次MRR」「月次有料会員数」はbillingサーバーのmonthly statsテーブルを正として整理しようと思います。 <https://docs.google.com/presentation/d/1BYnM6ISXrN453IhW8KzSAzicGQCeLQtqa2JJlAGBzqQ/edit#slide=id.g1190c2549c4_0_38>  日次のユーザー数についても月次と同じ定義で取れるようにbillingのほうを整理するのは可能だと思いますが、newspicksのほうを消すことができるかどうかは、数字の使われ方も確認したうえで進めます。,Slack #corp-it-engineering-data-enablement
<@UCKL4SR1A> <@U0RR5KY90> monthly_statsとKPIダッシュボードにMRRを追加することを角田さんに相談するMTGを今日16時半に入れました。その際に、併せて日次・週次のユーザー数・MRRも追加できないか確認します,<@UCKL4SR1A> <@U0RR5KY90> monthly_statsとKPIダッシュボードにMRRを追加することを角田さんに相談するMTGを今日16時半に入れました。その際に、併せて日次・週次のユーザー数・MRRも追加できないか確認します,Slack #corp-it-engineering-data-enablement
<@UCKL4SR1A> 関根君のほうで進めてるMRR集計について、いまどんな進捗でしょうか？角田さんに内容共有して、マージできるところはマージしていきたく,<@UCKL4SR1A> 関根君のほうで進めてるMRR集計について、いまどんな進捗でしょうか？角田さんに内容共有して、マージできるところはマージしていきたく,Slack #corp-it-engineering-data-enablement
<@U02LMETN883> あ、AnaplanにTableuを埋め込んだりできないか、DVに確認してもらえませんか？これができると、経営管理画面から数字の詳細まで確認できるのでかなり便利ですし、Anaplanのモジュール開発工数も削減できます。,<@U02LMETN883> あ、AnaplanにTableuを埋め込んだりできないか、DVに確認してもらえませんか？これができると、経営管理画面から数字の詳細まで確認できるのでかなり便利ですし、Anaplanのモジュール開発工数も削減できます。,Slack #corp-it-engineering-data-enablement
角田さんMTGメモ ・monthly statsとNP KPIダッシュボードにMRRを追加するのは可能。関根君が実装して問題ない。 ・monthly statsと同一定義でweekly statsを集計することは比較的容易。進める。 ・daily statsをbilling userベースで集計するSQLのサンプルがあるので、角田さんからもらう,角田さんMTGメモ ・monthly statsとNP KPIダッシュボードにMRRを追加するのは可能。関根君が実装して問題ない。 ・monthly statsと同一定義でweekly statsを集計することは比較的容易。進める。 ・daily statsをbilling userベースで集計するSQLのサンプルがあるので、角田さんからもらう,Slack #corp-it-engineering-data-enablement
<@U02818QEAJZ> DIDでもデータバリデーションするケースが増えると思うから、シートとかBotを準備してもらってもいい？,<@U02818QEAJZ> DIDでもデータバリデーションするケースが増えると思うから、シートとかBotを準備してもらってもいい？,Slack #corp-it-engineering-data-enablement
<@UQPU3ANR5> daily statsとmonthly statsの数字について、月末時点では一致しているかどうかわかりますか？uidの重複有無で数字がずれるかと思っていたのですが、菊池さんから「ずれないはず」と聞いてよくわからなくなり。データソースはbillingだと理解していますが、daily statsはuidユニーク、monthly statsはbilling idユニークと認識していました。,<@UQPU3ANR5> daily statsとmonthly statsの数字について、月末時点では一致しているかどうかわかりますか？uidの重複有無で数字がずれるかと思っていたのですが、菊池さんから「ずれないはず」と聞いてよくわからなくなり。データソースはbillingだと理解していますが、daily statsはuidユニーク、monthly statsはbilling idユニークと認識していました。,Slack #corp-it-engineering-data-enablement
<@UCKL4SR1A> monthly_statsにMRRを追加する件だけど、monthly_plan_statsにもMRRを追加して新規と解約とチェンジプランに伴うMRRが見れるようにしたうえで、それを集計するのがいいかな。どうやるのがいいか提案もらいたく。,<@UCKL4SR1A> monthly_statsにMRRを追加する件だけど、monthly_plan_statsにもMRRを追加して新規と解約とチェンジプランに伴うMRRが見れるようにしたうえで、それを集計するのがいいかな。どうやるのがいいか提案もらいたく。,Slack #corp-it-engineering-data-enablement
<@UCKL4SR1A> 上の角田さんの投稿によると、daily statsメールの累計ユーザー数はメール配信ジョブ内で計算しているから、そのロジックとmonthly statsの集計ロジックがずれているかも。 user_subscriptionsをベースにしようかと思ったけど、個人プランしか載っていないとすると、法人プランの分の整理を別途行わないといけなくなるから作業が膨大になりそうだから、いったん以下のスライドP21かP22みたいにdailyのデータを元にそれ以外を作るように寄せるのがいいと思うんだけどどうだろう <https://docs.google.com/presentation/d/1BYnM6ISXrN453IhW8KzSAzicGQCeLQtqa2JJlAGBzqQ/edit#slide=id.g11a1705b769_7_132>,<@UCKL4SR1A> 上の角田さんの投稿によると、daily statsメールの累計ユーザー数はメール配信ジョブ内で計算しているから、そのロジックとmonthly statsの集計ロジックがずれているかも。 user_subscriptionsをベースにしようかと思ったけど、個人プランしか載っていないとすると、法人プランの分の整理を別途行わないといけなくなるから作業が膨大になりそうだから、いったん以下のスライドP21かP22みたいにdailyのデータを元にそれ以外を作るように寄せるのがいいと思うんだけどどうだろう <https://docs.google.com/presentation/d/1BYnM6ISXrN453IhW8KzSAzicGQCeLQtqa2JJlAGBzqQ/edit#slide=id.g11a1705b769_7_132>,Slack #corp-it-engineering-data-enablement
"<@U0RR5KY90> <@UCKL4SR1A> Daily Statsメールの個人有料会員数が、プラン毎の積み上げと一致しないんだけど、この理由ってどこかで聞いた？  2022/2/28の例  ■プレミアム 149,864 月額 68,218 学割 9,552 年割 70,979 3年割 1,115  ■アカデミア 1,679 月額 0 半年割 0  ■その他 1,537  *⇒  149,864 + 1,679 + 1,537 = 153,080となるはず。* *一方、メール配信だと小計が151,158になっている。* *ちなみに、Monthly Statsだと152,736になってる。*","<@U0RR5KY90> <@UCKL4SR1A> Daily Statsメールの個人有料会員数が、プラン毎の積み上げと一致しないんだけど、この理由ってどこかで聞いた？  2022/2/28の例  ■プレミアム 149,864 月額 68,218 学割 9,552 年割 70,979 3年割 1,115  ■アカデミア 1,679 月額 0 半年割 0  ■その他 1,537  *⇒  149,864 + 1,679 + 1,537 = 153,080となるはず。* *一方、メール配信だと小計が151,158になっている。* *ちなみに、Monthly Statsだと152,736になってる。*",Slack #corp-it-engineering-data-enablement
<@UCKL4SR1A> タブの最適化プロジェクトを始める可能性があるんですが、「タブ遷移したかどうか」や「閲覧しているタブの種別」ってどのログ見ればわかるかわかります？たぶんまたユーザー画面とのずれはあるのだろうけど、、、,<@UCKL4SR1A> タブの最適化プロジェクトを始める可能性があるんですが、「タブ遷移したかどうか」や「閲覧しているタブの種別」ってどのログ見ればわかるかわかります？たぶんまたユーザー画面とのずれはあるのだろうけど、、、,Slack #corp-it-engineering-data-enablement
<@U02818QEAJZ> <https://mkataoka73.github.io/2021/02/04/gas-documentation-datatype.html>,<@U02818QEAJZ> <https://mkataoka73.github.io/2021/02/04/gas-documentation-datatype.html>,Slack #corp-it-engineering-data-enablement
<@UCKL4SR1A> 17時からハドルいける？,<@UCKL4SR1A> 17時からハドルいける？,Slack #corp-it-engineering-data-enablement
"<@UCKL4SR1A> cc: <@U0RR5KY90> さっき話した内容のサマリです  ■基本方針 ```monthly statsを正として、それと極力同一のロジック・データソースを使う前提で、必要な数字・データを取得できるようにする``` ■課題 ```・monthly statsには会員数情報しかなく、MRR集計を載せようとするとpayment_historiesやsubscription_transfer_historyから取得する必要がある。ただ、そうするとmonthly_user_planと二重実装になってしまう。 ・新規・解約・プラン変更データはmonthly_user_planから取得する必要があるが、monthly_user_planには個人会員のデータしかなく、法人（FSS、IN、SPなど）のデータがない。法人のデータはmonthly_statsで手運用またはDaily Statsで運用されているらしい。これらをmonthly_user_planに載せないと網羅的に有料会員数・MRRの増分を取得できない``` ■対応策 ```・個人・法人を両方含むmonthly_user_plan2を新たに作る（購読情報）。影響範囲を見ながら、monthly_user_planはmonthly_user_plan2を参照する形に持っていきたい。 ・monthly_user_plan2にMRRデータを載せる。MRRは以下で定義 　　月数 = ((契約終了日 - 契約開始日)/ (365.25 / 12), 小数点1桁で四捨五入) 　　MRR = amount / 月数 ・monthly_user_plan2から、monthly_plan_stats2（新規・解約・プラン変更・継続）とmonthly_stats2（月末時点数値）を集計するようにする ・monthly_user_plan2とmonthly_user_planの一致確認を行うことで、開示数字との整合性を担保する``` ■ネクスト ```・法人会員数・MRR集計の確認（森さんに確認先を確認する） ・monthly_user_plan2へのAmount追加検討（payment_historiesのproduct idから引っ張ってこれるか） ・monthly_user_plan2にデータ項目として「newsbscribe」「unsbscribe」「changeplan」「retention」を追加（SQLで埋め込まれていたものを可視化）```","<@UCKL4SR1A> cc: <@U0RR5KY90> さっき話した内容のサマリです  ■基本方針 ```monthly statsを正として、それと極力同一のロジック・データソースを使う前提で、必要な数字・データを取得できるようにする``` ■課題 ```・monthly statsには会員数情報しかなく、MRR集計を載せようとするとpayment_historiesやsubscription_transfer_historyから取得する必要がある。ただ、そうするとmonthly_user_planと二重実装になってしまう。 ・新規・解約・プラン変更データはmonthly_user_planから取得する必要があるが、monthly_user_planには個人会員のデータしかなく、法人（FSS、IN、SPなど）のデータがない。法人のデータはmonthly_statsで手運用またはDaily Statsで運用されているらしい。これらをmonthly_user_planに載せないと網羅的に有料会員数・MRRの増分を取得できない``` ■対応策 ```・個人・法人を両方含むmonthly_user_plan2を新たに作る（購読情報）。影響範囲を見ながら、monthly_user_planはmonthly_user_plan2を参照する形に持っていきたい。 ・monthly_user_plan2にMRRデータを載せる。MRRは以下で定義 　　月数 = ((契約終了日 - 契約開始日)/ (365.25 / 12), 小数点1桁で四捨五入) 　　MRR = amount / 月数 ・monthly_user_plan2から、monthly_plan_stats2（新規・解約・プラン変更・継続）とmonthly_stats2（月末時点数値）を集計するようにする ・monthly_user_plan2とmonthly_user_planの一致確認を行うことで、開示数字との整合性を担保する``` ■ネクスト ```・法人会員数・MRR集計の確認（森さんに確認先を確認する） ・monthly_user_plan2へのAmount追加検討（payment_historiesのproduct idから引っ張ってこれるか） ・monthly_user_plan2にデータ項目として「newsbscribe」「unsbscribe」「changeplan」「retention」を追加（SQLで埋め込まれていたものを可視化）```",Slack #corp-it-engineering-data-enablement
まずは作りやすいmonthlyから作って、問題なさそうであれば4月以降でdaily版を作り、そこに集約していきたい,まずは作りやすいmonthlyから作って、問題なさそうであれば4月以降でdaily版を作り、そこに集約していきたい,Slack #corp-it-engineering-data-enablement
<@U0RR5KY90> &gt; 法人会員数・MRR集計の確認（森さんに確認先を確認する） これ関根君から内容聞いて、誰に聞けばわかりそうか特定してサポートしてあげてくれない？,<@U0RR5KY90> &gt; 法人会員数・MRR集計の確認（森さんに確認先を確認する） これ関根君から内容聞いて、誰に聞けばわかりそうか特定してサポートしてあげてくれない？,Slack #corp-it-engineering-data-enablement
<@UCKL4SR1A> さっき喋りながらメモってたスプシはこちら  ■テーブル追加時の追加データ量試算 <https://docs.google.com/spreadsheets/d/1tHGZBmA69ksI2yAb0kkQQdhCZgiWnDW9upXGOAuIcKU/edit#gid=0>  ■uidとbilling idが混在する場合の使い分けについて <https://docs.google.com/spreadsheets/d/1N4s2ot11nkX8P_bMI2VPky1fPKdM09dNYkyuy0h-ebs/edit#gid=0>,<@UCKL4SR1A> さっき喋りながらメモってたスプシはこちら  ■テーブル追加時の追加データ量試算 <https://docs.google.com/spreadsheets/d/1tHGZBmA69ksI2yAb0kkQQdhCZgiWnDW9upXGOAuIcKU/edit#gid=0>  ■uidとbilling idが混在する場合の使い分けについて <https://docs.google.com/spreadsheets/d/1N4s2ot11nkX8P_bMI2VPky1fPKdM09dNYkyuy0h-ebs/edit#gid=0>,Slack #corp-it-engineering-data-enablement
To 福山さん  管理会計PJをNotionでタスク管理するなかで、Zapier連携して新規作成タスクをSlack通知するようにすると便利そう <https://zenn.dev/mogukones/articles/6b8b43debff017|https://zenn.dev/mogukones/articles/6b8b43debff017>,To 福山さん  管理会計PJをNotionでタスク管理するなかで、Zapier連携して新規作成タスクをSlack通知するようにすると便利そう <https://zenn.dev/mogukones/articles/6b8b43debff017|https://zenn.dev/mogukones/articles/6b8b43debff017>,Slack #corp-it-engineering-data-enablement
<@UEGN1ES64> 先日、「四半期ごとにプレミアム月額ユーザーのMRR実績を経理から受け取って、ARPUを更新している」と聞きましたが、実際に経理から受け取っているデータを共有してもらえませんか？  特に気になっているのは以下の二点で、これを確認したく。 ①経理が集計しているMRRの母集団の有料会員数が、KPIダッシュボードの数字（Monthly Stats）と整合しているのか ②経理が集計しているということはMRRではなく、日割り計算された月額利用料金なのではないか（つまり月末時点で解約されているユーザーのMRRも含まれてしまってる）,<@UEGN1ES64> 先日、「四半期ごとにプレミアム月額ユーザーのMRR実績を経理から受け取って、ARPUを更新している」と聞きましたが、実際に経理から受け取っているデータを共有してもらえませんか？  特に気になっているのは以下の二点で、これを確認したく。 ①経理が集計しているMRRの母集団の有料会員数が、KPIダッシュボードの数字（Monthly Stats）と整合しているのか ②経理が集計しているということはMRRではなく、日割り計算された月額利用料金なのではないか（つまり月末時点で解約されているユーザーのMRRも含まれてしまってる）,Slack #corp-it-engineering-data-enablement
<@UEGN1ES64> ありがとうございます。ただまだよくわからないので知りたいのですが、 ・IR開示している有料会員数は経理からもらっている有料会員数であり、KPIダッシュボードの値とは一致しない、ということでしょうか？ ・経理からもらっている有料会員数（上記）はどういう定義なのでしょうか。月末時点で有効な有料会員数なのか、それともApple等が定義している有料会員数なのか（アクティブユーザー数などでしょうか） ・月末時点のMRRは翌月以降にrecurringする月額売上なので、月末時点の有料会員（つまりMonthly Stats）を元に算出したほうが適切だと思うのですが、IR開示するMRRをそのように定義変更することは可能でしょうか？実際に変更する際には千葉さん確認だとは思いますが。,<@UEGN1ES64> ありがとうございます。ただまだよくわからないので知りたいのですが、 ・IR開示している有料会員数は経理からもらっている有料会員数であり、KPIダッシュボードの値とは一致しない、ということでしょうか？ ・経理からもらっている有料会員数（上記）はどういう定義なのでしょうか。月末時点で有効な有料会員数なのか、それともApple等が定義している有料会員数なのか（アクティブユーザー数などでしょうか） ・月末時点のMRRは翌月以降にrecurringする月額売上なので、月末時点の有料会員（つまりMonthly Stats）を元に算出したほうが適切だと思うのですが、IR開示するMRRをそのように定義変更することは可能でしょうか？実際に変更する際には千葉さん確認だとは思いますが。,Slack #corp-it-engineering-data-enablement
一点目についてざっくり整理するとこんな感じでしょうか <https://docs.google.com/presentation/d/1BYnM6ISXrN453IhW8KzSAzicGQCeLQtqa2JJlAGBzqQ/edit#slide=id.g11a627d1981_1_0>,一点目についてざっくり整理するとこんな感じでしょうか <https://docs.google.com/presentation/d/1BYnM6ISXrN453IhW8KzSAzicGQCeLQtqa2JJlAGBzqQ/edit#slide=id.g11a627d1981_1_0>,Slack #corp-it-engineering-data-enablement
<@UEGN1ES64> なるほど、そうすると以下でしょうか？,<@UEGN1ES64> なるほど、そうすると以下でしょうか？,Slack #corp-it-engineering-data-enablement
認識齟齬があれば以下のスライドを直接編集してもらえればと。 <https://docs.google.com/presentation/d/1BYnM6ISXrN453IhW8KzSAzicGQCeLQtqa2JJlAGBzqQ/edit#slide=id.g11a627d1981_1_0>,認識齟齬があれば以下のスライドを直接編集してもらえればと。 <https://docs.google.com/presentation/d/1BYnM6ISXrN453IhW8KzSAzicGQCeLQtqa2JJlAGBzqQ/edit#slide=id.g11a627d1981_1_0>,Slack #corp-it-engineering-data-enablement
<@UEGN1ES64> ありがとうございます。ただ修正後の式って、要は③MRRを先に算出してから②ARPUを算出している、ということですよね？なので元の記載のほうが正しいのでは？,<@UEGN1ES64> ありがとうございます。ただ修正後の式って、要は③MRRを先に算出してから②ARPUを算出している、ということですよね？なので元の記載のほうが正しいのでは？,Slack #corp-it-engineering-data-enablement
まだスプシの方を見てないのでこれから見てみますね,まだスプシの方を見てないのでこれから見てみますね,Slack #corp-it-engineering-data-enablement
